t,con00,con01,con02,con03,con04,con05,con06,con07,con08,con09,con10,con11,con12,con13,con14,con15,con16,con17,con18,con19,con20,con21,con22,con23,con24,con25,con26,con27,con28,con29,con30,con31,con32,con33,con34,con35,con36,con37,con38,con39,con40,con41,con42,con43,con44,con45,con46,con47,con48,con49,con50,con51,con52,con53,con54,con55,con56,con57,con58,con59,con60,con61,con62,con63,con64,con65,con66,con67,con68,con69,con70,con71,con72,con73,con74,con75,con76,con77,con78,con79,con80,con81,con82,con83,con84,con85,con86,con87,con88,con89,stc00,stc01,stc02,stc03,stc04,stc05,stc06,stc07,stc08,stc09,stc10,stc11,stc12,stc13,stc14,stc15,stc16,stc17,stc18,stc19,stc20,stc21,stc22,stc23,stc24,stc25,stc26,stc27,stc28,stc29,stc30,stc31,stc32,stc33,stc34,stc35,stc36,stc37,stc38,stc39,stc40,stc41,stc42,stc43,stc44,stc45,stc46,stc47,stc48,stc49,stc50,stc51,stc52,stc53,stc54,stc55,stc56,stc57,stc58,stc59,stc60,stc61,stc62,stc63,stc64,stc65,stc66,stc67,stc68,stc69,stc70,stc71,stc72,stc73,stc74,stc75,stc76,stc77,stc78,stc79,stc80,stc81,stc82,stc83,stc84,stc85,stc86,stc87,stc88,stc89
0,9970.0,12389.0,10051.0,9385.0,8518.0,7523.0,9878.0,14693.0,21294.0,14620.0,12816.0,8542.0,8089.0,11713.0,12139.0,13066.0,13811.0,11359.0,10002.0,10593.0,10863.0,9401.0,9830.0,8778.0,8639.0,13263.0,14983.0,14791.0,12872.0,7473.0,7836.0,10324.0,12836.0,12720.0,12929.0,10675.0,11901.0,10007.0,11390.0,12016.0,13929.0,14740.0,9334.0,15856.0,10650.0,10160.0,11027.0,9102.0,8880.0,9993.0,11156.0,12535.0,11011.0,11566.0,11449.0,8578.0,11328.0,11452.0,14350.0,13452.0,8890.0,10753.0,13848.0,13231.0,12455.0,11297.0,9747.0,10989.0,12998.0,15142.0,13971.0,9134.0,9585.0,7923.0,11003.0,12308.0,15184.0,13701.0,9747.0,9185.0,14771.0,10587.0,10954.0,11385.0,8722.0,11876.0,13310.0,14551.0,10190.0,10707.0,0.3048820836454566,0.1713825375197668,0.0336193311153913,0.2600723763570567,0.4327913615489636,0.566146125656179,0.0189137935355594,0.6415182119930654,0.3451821386603995,0.0845650337837837,0.5935825552214509,0.7914604066636527,0.6435624911189981,0.7688600307918868,0.0282828282828282,0.1593309859154929,0.4872364039955605,0.4889293296936608,0.2818723363804876,0.0268582136164897,0.7609576267510951,0.5885026969601633,0.4049873240041823,0.8363647707112095,0.605897016961714,0.3209964412811387,0.727494683783571,0.3514647578791479,0.4149932054959988,0.087890625,0.0111378299120234,0.5050658054559224,0.7324510322922182,0.0002286907595881,0.5125731502404541,0.3834290741603271,0.2458255983107486,0.4331252053894186,0.6104868913857674,0.7114503816793892,0.716354858177429,0.7685702554581644,0.2774030354131533,0.1424784625579854,0.1300032127129401,0.190188142151848,0.6766081871345029,0.3176178660049626,0.6236548197522068,0.2455696202531645,0.0014095538618225,0.3151515151515151,0.81054497648106,0.5566239316239316,0.679726855479682,0.0131271182395341,0.79580005153311,0.4885535900104059,0.0184340888167989,0.9053892587936908,0.2621468926553671,0.629817049435578,0.6659480205643347,0.5321259669892574,0.8378252788104088,0.2838127951910691,0.4640600870419767,0.3392382639503986,0.3137089991589571,0.2484310885831522,0.0338684944124088,0.3988559542381695,0.0865291396173622,0.4471406058630015,0.2123045890065557,0.4581143740340032,0.3679763413603718,0.3085227272727272,0.4949522362136344,0.5290322433352435,0.1915221579961464,0.6187339959203161,0.7044829077778545,0.6271186440677965,0.0209078106380673,0.1627785058977718,0.6791324961718221,0.5169267707082834,0.9160906970736142,0.4851901850234257
1,9428.0,12186.0,10739.0,9391.0,9031.0,7651.0,9381.0,14194.0,21278.0,15212.0,13441.0,9170.0,7886.0,11321.0,12202.0,12950.0,13937.0,12537.0,9849.0,9988.0,10790.0,9283.0,9941.0,9096.0,8506.0,12442.0,14443.0,15179.0,13944.0,7719.0,7732.0,8681.0,12573.0,12890.0,12989.0,10873.0,12154.0,9462.0,10995.0,11716.0,14082.0,16010.0,9835.0,14971.0,10704.0,10056.0,11045.0,9366.0,9164.0,9618.0,10683.0,12674.0,11022.0,11683.0,12563.0,8353.0,10833.0,11312.0,14795.0,14375.0,9402.0,10115.0,13397.0,13051.0,12863.0,11342.0,10433.0,10873.0,12464.0,15011.0,13893.0,9354.0,9836.0,7902.0,10471.0,12081.0,15921.0,14584.0,10149.0,8808.0,14537.0,10476.0,10947.0,11587.0,9506.0,11792.0,12554.0,14490.0,10179.0,10877.0,0.308141584058294,0.1794782539508886,0.0281912099457187,0.2639324487334137,0.4087129204418517,0.5794182706593154,0.0129322227884478,0.6497797954214973,0.3425114838158316,0.0982896959459459,0.5958151522687707,0.7948940991993774,0.6560500634186205,0.7739473860365484,0.0282828282828282,0.15625,0.4912002536863802,0.4749772520473156,0.2973985646160427,0.0243597751405371,0.7599340764193087,0.5914663894474309,0.4138820058152025,0.8400026713086512,0.6172665869393118,0.3195729537366548,0.7128455540678901,0.3315644138654489,0.4038200211384569,0.0893554687499999,0.0123167155425219,0.5091241658211749,0.7318157755426151,0.0002360678808651,0.5157019526044383,0.3813072504269523,0.2466107021521431,0.4597436740059153,0.5767790262172282,0.6183206106870229,0.6519814926574129,0.7719620829391077,0.2533726812816188,0.1517561298873426,0.1365775204124809,0.1930347373571143,0.6947368421052631,0.3176178660049626,0.6300658915714757,0.2444846292947559,0.0014948365274528,0.3151515151515151,0.8217178695527492,0.5608974358974359,0.6828613007948058,0.014201155186405,0.7937387271321824,0.4885535900104059,0.0177911241652419,0.9062776225608864,0.263276836158192,0.6340988711560919,0.6692648487289441,0.543949074509067,0.8303903345724905,0.2859596393301847,0.4717815527165521,0.5398582816651903,0.3078216989066442,0.262038377986966,0.0333785697138349,0.4045761830473218,0.0853019500042951,0.4414974773125331,0.2123045890065557,0.4649149922720247,0.4224757076468103,0.2971590909090908,0.4989687364307424,0.532182834756046,0.2053949903660886,0.6143939065144742,0.7015365133496743,0.5906779661016949,0.0210703065756689,0.1612057667103538,0.6805480268750994,0.5138055222088835,0.9186741551561222,0.49344874136425
2,9059.0,11823.0,11243.0,9407.0,9542.0,7834.0,8920.0,13246.0,20951.0,15548.0,14231.0,10020.0,7826.0,10535.0,12365.0,12927.0,13944.0,13201.0,9878.0,10065.0,10536.0,9274.0,10010.0,9657.0,8470.0,11508.0,14054.0,15431.0,14807.0,8289.0,7631.0,8239.0,12058.0,13513.0,13049.0,11237.0,12827.0,9161.0,10317.0,11833.0,13866.0,17298.0,10405.0,14315.0,10228.0,9903.0,11061.0,9505.0,9521.0,9447.0,11017.0,12545.0,11185.0,11589.0,12991.0,8342.0,10093.0,11442.0,15094.0,15378.0,10079.0,9698.0,12470.0,12595.0,13090.0,11476.0,11501.0,10903.0,11776.0,14687.0,13940.0,9461.0,9929.0,7761.0,9678.0,11695.0,16454.0,15550.0,11047.0,8634.0,13478.0,10221.0,10851.0,11725.0,10766.0,11798.0,11620.0,14341.0,10280.0,10777.0,0.3048820836454566,0.1821038917123335,0.0458763789178778,0.2623240852432649,0.4258408837036117,0.5787579649377662,0.0101252286948312,0.6497797954214973,0.3449150731759427,0.100929054054054,0.5988390495353936,0.7939212196475888,0.656962397467908,0.7857286297610282,0.0262626262626262,0.1505281690140845,0.494371333439036,0.4604185623293902,0.3072212804385367,0.0281074328544659,0.7531335386216766,0.597393774421966,0.4089691622384233,0.8318920861602487,0.6238777813336926,0.3174377224199288,0.7076474757816807,0.3218456412075962,0.4179374905631889,0.1035156249999999,0.0140762463343108,0.525400477286043,0.7489677077818953,0.0002360678808651,0.5298974448114027,0.3968845417378254,0.2470032540728403,0.4477489319750247,0.636704119850187,0.6824427480916033,0.7002615167974254,0.7772461931199457,0.2622259696458684,0.1444665341285619,0.1379331285555329,0.161544277898857,0.7074074074074074,0.2741935483870967,0.6432950873890146,0.247377938517179,0.0014379814170326,0.3087878787878787,0.8300602963796102,0.5512820512820513,0.684652412403448,0.0146785049405699,0.7839474362277762,0.4797086368366285,0.0176303830023526,0.9045008950264952,0.2700564971751412,0.6422732580770728,0.6683171835390557,0.5489993422907075,0.820399628252788,0.2759410333476456,0.4984557068650849,0.4251550044286978,0.3137089991589571,0.2668657977311128,0.0385227790488601,0.4180967238689547,0.0880017671530428,0.43677396971103,0.2204740292486132,0.4751159196290573,0.4161385720321081,0.2846590909090908,0.5009769865392966,0.5372055167312385,0.2084778420038535,0.6123215138231848,0.6874732264690703,0.6101694915254237,0.0206911493879319,0.200524246395806,0.6878671532761627,0.518607442977191,0.9157721885428942,0.4793933137457318
3,8817.0,11079.0,11244.0,9627.0,9909.0,7977.0,8770.0,13210.0,20461.0,15612.0,15057.0,10843.0,7827.0,8802.0,12706.0,13020.0,13892.0,13279.0,10136.0,9537.0,10400.0,9400.0,9951.0,10164.0,8611.0,10857.0,13932.0,15521.0,15516.0,8635.0,7756.0,7841.0,11222.0,13595.0,13054.0,11503.0,13972.0,8964.0,9601.0,11900.0,13646.0,18561.0,11442.0,13917.0,13005.0,9747.0,11180.0,9478.0,9763.0,9281.0,10496.0,12334.0,11804.0,11480.0,12958.0,8558.0,9110.0,11783.0,15094.0,16138.0,10996.0,9499.0,14419.0,12127.0,13222.0,11268.0,12094.0,11201.0,11309.0,14336.0,14385.0,9564.0,10113.0,7744.0,8446.0,11943.0,16798.0,16312.0,12214.0,8577.0,10137.0,10256.0,10697.0,11700.0,11463.0,12028.0,11265.0,14034.0,10823.0,10747.0,0.3117054354132938,0.1895531443006753,0.0211871826300122,0.2669079211901889,0.4514087129204417,0.5797484235200898,0.0094401884696034,0.6497797954214973,0.3507103941886549,0.104835304054054,0.6080237842237343,0.7904875271118641,0.6559360216624596,0.7800053551107838,0.0222222222222222,0.1443661971830985,0.4957983193277311,0.4683045192599332,0.3047061898952772,0.0268582136164897,0.8056468751355337,0.584262336939919,0.4112178982196312,0.8240539041966787,0.6290361973420472,0.3174377224199288,0.7114278963534694,0.3403575891273159,0.3964215612260305,0.1113281249999999,0.0170087976539589,0.5105102959459266,0.7673901535203812,0.0002661438368407,0.5306506750101396,0.4018009625834497,0.2454330463900514,0.4451199474203093,0.6104868913857674,0.732824427480916,0.647958157312412,0.7724619311994573,0.2908937605396289,0.1404903909874089,0.1294253161779686,0.1445981408175066,0.7031189083820663,0.2866004962779155,0.6494517515964077,0.2477396021699819,0.0017733283543097,0.2848484848484848,0.8412331894512993,0.5726495726495726,0.683868801074667,0.0124110936082868,0.8080391651636175,0.4781477627471385,0.0185948299796881,0.8965056211217368,0.263276836158192,0.6270922537952511,0.6691069045306293,0.5501346738075104,0.8234200743494422,0.2747960498067839,0.5000350975712481,0.4760850310008857,0.3473507148864592,0.2423515568428673,0.0372979673024256,0.4160166406656266,0.0899652705339501,0.447893023003064,0.2241048915784167,0.4698608964451314,0.4013519222644697,0.3017045454545453,0.5002713851498046,0.5378219367918303,0.2046242774566474,0.5998437567813898,0.6915898201027686,0.5949152542372882,0.0222619434514137,0.1958060288335517,0.6877089469034433,0.5956782713085234,0.9129056117664128,0.4983721114905107
4,8743.0,11502.0,11107.0,9945.0,10182.0,8416.0,8641.0,12314.0,20239.0,15802.0,16200.0,11190.0,8131.0,8402.0,12504.0,13538.0,13847.0,13380.0,10854.0,9169.0,10041.0,10107.0,10020.0,10570.0,8664.0,10322.0,13159.0,15208.0,15995.0,9008.0,7751.0,7722.0,10086.0,13435.0,13172.0,11639.0,14507.0,8919.0,9058.0,11549.0,13223.0,19688.0,12271.0,13858.0,11860.0,10024.0,11320.0,9439.0,10151.0,9372.0,10170.0,12050.0,12507.0,11448.0,12836.0,9213.0,8618.0,11496.0,15013.0,16729.0,11714.0,9566.0,13445.0,12009.0,13366.0,11171.0,12398.0,11911.0,11125.0,13827.0,15100.0,9555.0,10176.0,7792.0,8029.0,11654.0,17001.0,16690.0,13272.0,8821.0,9488.0,10773.0,10589.0,11633.0,11573.0,12682.0,11058.0,13496.0,11107.0,10594.0,0.3179691741584451,0.1886679861159457,0.0457012782349851,0.2614394853236831,0.4610897356336104,0.5441909604146721,0.0073767136448317,0.6456490037072813,0.3700726418117722,0.1075802364864864,0.6119237638760144,0.7868821499493531,0.6538832700515627,0.7698306446214606,0.0262626262626262,0.1505281690140845,0.4942127794514032,0.5113739763421291,0.3065479491119948,0.0268582136164897,0.8011710109728064,0.5872260294271866,0.4128364151997363,0.8208114275772197,0.6294572925264027,0.3124555160142348,0.712530519020241,0.3551671474630918,0.3934772761588405,0.1113281249999999,0.0170087976539589,0.5010074450906701,0.7856008470089995,0.0003302680448642,0.5296656816733298,0.3967810381410754,0.2465970084804908,0.4566217548471901,0.6104868913857674,0.6885496183206109,0.6902031784349227,0.7636074763018369,0.3001686340640809,0.1391650099403578,0.1340641602281809,0.1458435262198105,0.7187134502923976,0.2866004962779155,0.6399623476734424,0.2448462929475588,0.0025690270829645,0.3151515151515151,0.8423132357815626,0.5352564102564102,0.6800626889063025,0.0109790443457921,0.8006956969853131,0.4828303850156088,0.0193985357941344,0.8893987109841737,0.2644067796610169,0.6274815103152978,0.6640526901845577,0.5545585517867768,0.8183085501858735,0.2712179762415916,0.51617998034536,0.5890168290522586,0.3473507148864592,0.2484310885831522,0.0355832308574172,0.4154966198647946,0.0882472050756562,0.447893023003064,0.2254160363086234,0.4670788253477589,0.4013519222644697,0.2982954545454545,0.4994572297003907,0.5382557138715061,0.2188824662813102,0.6206870361529448,0.6828969117189182,0.6016949152542374,0.0218827862636767,0.1622542595019658,0.6846697192169952,0.5378151260504201,0.9087296110303044,0.4990073850551894
5,8735.0,10836.0,10891.0,10322.0,10395.0,8769.0,8682.0,11624.0,19866.0,15811.0,17245.0,11330.0,8868.0,8035.0,11978.0,13823.0,13629.0,13468.0,12041.0,8979.0,9521.0,10266.0,9955.0,10734.0,9200.0,10074.0,18165.0,14726.0,16343.0,9351.0,7928.0,7563.0,9643.0,13132.0,13582.0,11675.0,14574.0,9178.0,8733.0,11079.0,12648.0,20637.0,13022.0,14174.0,11075.0,10016.0,11337.0,9273.0,10269.0,9657.0,10013.0,11582.0,12609.0,11344.0,12839.0,10235.0,8364.0,10932.0,14647.0,17354.0,12310.0,9884.0,12789.0,11679.0,13197.0,11176.0,12530.0,12799.0,10957.0,13035.0,14998.0,9680.0,10220.0,7981.0,7758.0,11014.0,16821.0,16602.0,14217.0,9414.0,9076.0,10543.0,10404.0,11635.0,11537.0,13610.0,10902.0,12702.0,10944.0,10500.0,0.3254601344445743,0.1941380647856226,0.0367711434074592,0.2640932850824287,0.4650614372595258,0.5396348509359833,0.0061737161761388,0.6456490037072813,0.3748798205319943,0.1044130067567567,0.6214193665076528,0.8050807203886939,0.6531990195145971,0.7713702389718187,0.0242424242424242,0.1505281690140845,0.4902489297605835,0.5010615711252653,0.3042110933316434,0.0281074328544659,0.7820184759509042,0.5927430569804076,0.4059183293467207,0.8259255776924638,0.62078273172868,0.3217081850533807,0.7246593683547295,0.3611835305370007,0.3927223312698172,0.119140625,0.0158357771260997,0.4847168436245159,0.7928004235044999,0.0002746558998527,0.5332580103134595,0.4034570201314496,0.2442599551851772,0.412421952021032,0.6385767790262172,0.6564885496183206,0.7042848521424263,0.764821393505543,0.3275716694772344,0.1398277004638833,0.1350397279380651,0.0672952897744963,0.7259259259259259,0.2866004962779155,0.6473147276566513,0.2433996383363472,0.0023985163151495,0.2848484848484848,0.844883001188051,0.5459401709401709,0.6756968543602373,0.0107403694687097,0.8031435197114146,0.4958376690946931,0.0212470591673607,0.8938405298201507,0.2666666666666666,0.6317633320358118,0.6640526901845577,0.5527968304676,0.8403810408921932,0.2649205667668527,0.5131966867892741,0.5837023914968998,0.3397813288477712,0.2581462708182477,0.0333785697138349,0.4284971398855954,0.0936468393731515,0.4483110325253209,0.2354009077155826,0.4769706336939722,0.3996620194338826,0.2920454545454544,0.5009769865392966,0.5401278044258959,0.220038535645472,0.6241808081246475,0.6860731667053251,0.5932203389830507,0.0222077781388798,0.1674967234600262,0.6817470646472873,0.5975990396158464,0.918037138094682,0.4986103390772651
6,8993.0,10510.0,10508.0,10761.0,10504.0,9063.0,8539.0,10994.0,18514.0,15546.0,18124.0,11425.0,9854.0,8057.0,11115.0,13625.0,13314.0,13369.0,12679.0,8931.0,9911.0,10122.0,9984.0,10805.0,9813.0,9967.0,16808.0,14407.0,16557.0,9610.0,8361.0,7569.0,9329.0,12596.0,14074.0,11673.0,14634.0,9913.0,8580.0,10288.0,12229.0,21204.0,13844.0,15013.0,10529.0,9542.0,11114.0,9187.0,10354.0,10161.0,9938.0,12204.0,12504.0,11303.0,12730.0,10854.0,8194.0,10117.0,13967.0,17759.0,12905.0,10678.0,12346.0,10705.0,12876.0,11027.0,12657.0,13112.0,10964.0,13119.0,14784.0,10053.0,10212.0,8149.0,7556.0,10101.0,16236.0,16551.0,14926.0,10278.0,8780.0,9883.0,10227.0,11515.0,11550.0,13974.0,10935.0,11905.0,10766.0,10526.0,0.332195126261461,0.1943668135299909,0.0369462440903519,0.2605548854041013,0.4638202805014272,0.5639341014889895,0.0046031361475676,0.6353220244217413,0.3736780258519389,0.1062077702702702,0.625291085437815,0.7926621990511563,0.6487513910243207,0.7777629024700449,0.0242424242424242,0.1461267605633802,0.4999207230061836,0.4940855323020927,0.3023891379774712,0.0306058713304184,0.7876393286203757,0.5876819821175355,0.3968660927854247,0.8300379870634849,0.6332050396671663,0.3138790035587188,0.7309600693077105,0.3488422319238541,0.3844934319794654,0.12451171875,0.0258064516129032,0.4887752039897683,0.7961884595023823,0.0002786281959249,0.5379512138594357,0.4108575272990736,0.2477883579142347,0.4023989484061782,0.6573033707865165,0.7297709923664123,0.7042848521424263,0.7639645107735151,0.3326306913996627,0.1408217362491716,0.1305791502766067,0.0470132989369746,0.7497076023391812,0.2853598014888336,0.6511054010736,0.2477396021699819,0.0020972715314354,0.3151515151515151,0.8510280923774799,0.5299145299145299,0.6678607410724282,0.011456394099957,0.8094563256892553,0.5000000000000001,0.02140780033025,0.8991707124233231,0.271186440677966,0.6508369015181005,0.6642106343828725,0.5733502458579973,0.8424721189591078,0.269071132102476,0.5267092517197809,0.5845881310894596,0.336417157275021,0.3038257301472363,0.0328886450152611,0.4238169526781071,0.0948740289862186,0.4475586153852585,0.227937468482098,0.4877897990726431,0.3967046894803548,0.2948863636363635,0.5013569257490229,0.5474563540351541,0.2208092485549133,0.6176706740158848,0.6824998798456172,0.5940677966101695,0.0222619434514137,0.1973787680209699,0.6830127156290411,0.5807923169267707,0.9139673068688134,0.4982927022949258
7,9363.0,10311.0,9950.0,10718.0,10595.0,9258.0,8872.0,10726.0,13153.0,15210.0,18810.0,11406.0,10699.0,8059.0,9943.0,13283.0,13517.0,13317.0,12802.0,9171.0,9436.0,9885.0,9844.0,10792.0,10409.0,10029.0,15853.0,14267.0,16547.0,9482.0,8770.0,7623.0,9146.0,11762.0,13851.0,11686.0,14507.0,11069.0,8509.0,9374.0,12370.0,21488.0,14481.0,16496.0,10253.0,9408.0,10858.0,9155.0,10238.0,10627.0,9951.0,11675.0,12345.0,12019.0,12629.0,11327.0,8159.0,9333.0,13662.0,18060.0,13311.0,11712.0,12082.0,10656.0,12850.0,10831.0,12642.0,13120.0,11194.0,12701.0,14456.0,10805.0,10219.0,8264.0,7479.0,8784.0,15950.0,16185.0,15423.0,11128.0,8687.0,10405.0,10388.0,11414.0,11473.0,14141.0,11142.0,11401.0,10637.0,11203.0,0.3307420959569431,0.1954608292639263,0.0646121519873927,0.2665862484921592,0.4586074221174133,0.5554821882531613,0.0030910351626135,0.6766716667327315,0.3657194744151265,0.1074746621621621,0.6224932739481358,0.7919182323350827,0.6542253953200455,0.7806412745163664,0.0242424242424242,0.1496478873239436,0.4999207230061836,0.4910524719441916,0.294705239309875,0.0281074328544659,0.7820184759509042,0.5986704419549428,0.3936863514616783,0.8282366111637856,0.6377739224174231,0.3181494661921707,0.7378908403559896,0.3997500887030837,0.388268156424581,0.1235351562499999,0.0258064516129032,0.4670686920361822,0.7910005293806247,0.0002729534872503,0.5402398748479055,0.4118925632665735,0.2520927353702518,0.4212947748931974,0.6662921348314607,0.7745038167938931,0.7364715349024343,0.762964814252816,0.3275716694772344,0.1487740225314778,0.1336821608237082,0.0407418938753725,0.7538011695906432,0.2866004962779155,0.6568041315796168,0.2470162748643761,0.0020006396690993,0.3151515151515151,0.8589980894352848,0.5235042735042735,0.6725624090451137,0.0126497684853692,0.8095851584643133,0.5052029136316338,0.0208452062601376,0.9027241674921046,0.27909604519774,0.6590112884390814,0.6644475506803447,0.5479814588618497,0.850139405204461,0.2659224273651066,0.522146567457532,0.565987599645704,0.3448275862068965,0.3284908279024859,0.0287242850773836,0.4258970358814352,0.0995373495158736,0.4649060105589205,0.2444780635400909,0.5091190108191656,0.3920574566962399,0.3073863636363636,0.5018454190186712,0.5516343122236097,0.223121387283237,0.6316132112321515,0.6835029077360616,0.6016949152542374,0.023236919077023,0.1989515072083878,0.6833208017232838,0.5721488595438176,0.9152059511549472,0.5032954816167713
8,9545.0,10272.0,10117.0,10498.0,10579.0,9355.0,9575.0,10620.0,12262.0,14918.0,19287.0,11371.0,11163.0,8214.0,9580.0,12719.0,14175.0,13295.0,12889.0,9857.0,9140.0,9380.0,9995.0,10829.0,10818.0,10218.0,15051.0,13358.0,16230.0,9404.0,9104.0,7862.0,9065.0,11294.0,13571.0,11855.0,14257.0,11545.0,8715.0,8822.0,11953.0,21519.0,14934.0,17839.0,10220.0,8785.0,11109.0,9093.0,10020.0,10982.0,10288.0,11299.0,12005.0,12710.0,12660.0,11709.0,8374.0,8736.0,12975.0,18150.0,13677.0,12561.0,12098.0,9877.0,13223.0,10674.0,12564.0,13026.0,11883.0,12509.0,14023.0,11124.0,10191.0,8509.0,7470.0,8289.0,15727.0,15649.0,16198.0,11686.0,8881.0,9742.0,10887.0,11343.0,11399.0,14234.0,11806.0,11136.0,10489.0,11643.0,0.3332456279005381,0.1974201119874288,0.0544563123796182,0.2670687575392039,0.4593521161722725,0.5979398461487669,0.0024227032355619,0.6766716667327315,0.3699391090695438,0.1072635135135135,0.6160780900273563,0.787568888456498,0.6508611635132979,0.7733114666309658,0.0262626262626262,0.1448063380281689,0.5049944506104329,0.481346678798908,0.2830803719957541,0.0318550905683947,0.786823958017088,0.5889586496505123,0.3789048512539925,0.831136387002326,0.6367211844565346,0.3174377224199288,0.7485232732141451,0.3884886537185874,0.388268156424581,0.1181640625,0.0287390029325513,0.4697695022792552,0.7786130227633669,0.0002595044276914,0.5399501709253143,0.4097707395331987,0.2540554949737378,0.4451199474203093,0.6872659176029959,0.7694656488549616,0.7183665258499299,0.7626256315047217,0.3275716694772344,0.144910536779324,0.1373669858483912,0.1065694079971533,0.7547758284600389,0.3138957816377171,0.6511054010736,0.2513562386980109,0.0018926586100574,0.2848484848484848,0.8668936005392783,0.5331196581196582,0.6746893540803762,0.0119337438541219,0.7954135532079359,0.4953173777315297,0.0206040945158037,0.9053892587936908,0.27909604519774,0.6722460101206694,0.6678433509441114,0.5531491747314353,0.8404972118959106,0.2770860168885071,0.522146567457532,0.5447298494242693,0.3407064760302775,0.3432144581221338,0.0287242850773836,0.438897555902236,0.1010099770515542,0.4636519819921497,0.2544629349470501,0.500772797527048,0.3591043514997887,0.3136363636363636,0.5014112027789839,0.5499448646501359,0.2177263969171483,0.6349008289570766,0.6914017523733103,0.5991525423728813,0.0256743581410464,0.1984272608125819,0.6904067818908659,0.5416566626650661,0.9240180205048714,0.5102834908282379
9,9676.0,10350.0,9514.0,10160.0,10509.0,9391.0,10260.0,10565.0,11504.0,14836.0,19375.0,11350.0,11353.0,8910.0,9349.0,11855.0,13967.0,13226.0,12826.0,10987.0,8970.0,9530.0,10364.0,10837.0,11061.0,11073.0,14511.0,13163.0,15665.0,9346.0,9360.0,7883.0,8997.0,10869.0,13240.0,12670.0,14049.0,11671.0,9321.0,8477.0,11447.0,20372.0,15425.0,19035.0,10501.0,8440.0,10932.0,9091.0,9809.0,11381.0,10610.0,11013.0,11457.0,12570.0,12607.0,11807.0,9050.0,8387.0,11995.0,17940.0,14027.0,13264.0,12508.0,9437.0,12849.0,10512.0,12502.0,12958.0,12939.0,12387.0,13297.0,11093.0,10226.0,8676.0,7600.0,7956.0,14774.0,15331.0,16908.0,12158.0,9393.0,9349.0,10494.0,11327.0,11328.0,14226.0,12836.0,10955.0,10194.0,11607.0,0.3250870590961169,0.1969924512914358,0.0621607424268954,0.2871733011660635,0.4558768772495965,0.6377232658720988,0.0019548708866258,0.6849541127455788,0.3694049781006303,0.1077913851351351,0.6054803192331168,0.7832195445779134,0.6470407646819066,0.7720396278198005,0.0262626262626262,0.1426056338028168,0.5026161407959411,0.4689111313315134,0.2740894184001647,0.0343535290443472,0.790709979615735,0.5808882870313377,0.3827721042153056,0.8326565725176821,0.6402373292459028,0.3231316725978647,0.7514373474048989,0.3884886537185874,0.388268156424581,0.1083984375,0.0463343108504398,0.464339301790537,0.7807305452620434,0.0002564968320938,0.5433397068196304,0.4178440200796978,0.2520927353702518,0.4451199474203093,0.6629213483146066,0.7190839694656489,0.7183665258499299,0.7660174589856651,0.3257588532883642,0.145791915175613,0.1358135216035355,0.0845972512565049,0.7331384015594541,0.3238213399503722,0.6503930597603479,0.2535262206148282,0.0018244543029314,0.2848484848484848,0.8680108898464471,0.5416666666666666,0.6726183812828838,0.0128884433624516,0.7978613759340376,0.4906347554630594,0.0144155597445676,0.9045008950264952,0.2892655367231637,0.7041650447644997,0.6709232628112488,0.5601177612828463,0.8282992565055762,0.2677830256190067,0.4937175347465957,0.5447298494242693,0.3019343986543313,0.3348569876900796,0.0287242850773836,0.4347373894955798,0.1024826045872347,0.4576326448716502,0.265758951084216,0.495208655332303,0.3933248838191804,0.3511363636363636,0.5028766825879287,0.5503786417298115,0.2140886319845857,0.6346404235927261,0.6884553579451302,0.6016949152542374,0.0306575668941609,0.2220183486238532,0.6898405696095551,0.5375750300120048,0.9220715794838036,0.5120304931311045
